nm0000122	Charles Chaplin	1889	tt0032553,tt0027977,tt0044837,tt0018773
nm0373429	T. Hee	1911	tt0032910,tt0039951,tt0034091,tt0055277
nm0000033	Alfred Hitchcock	1899	tt0040746,tt0052357,tt0054215,tt0053125
nm0000080	Orson Welles	1915	tt0033467,tt0057427,tt0052311,tt0040525
nm0314671	Clyde Geronimi	1901	tt0042332,tt0043274,tt0046183,tt0053285
nm0001008	Frank Capra	1897	tt0038650,tt0031679,tt0027996,tt0025316
nm0715346	Carol Reed	1906	tt0039677,tt0063385,tt0040338,tt0041959
nm0000581	Joseph L. Mankiewicz	1909	tt0069281,tt0042192,tt0041587,tt0056937
nm0002045	Stanley Donen	1924	tt0062407,tt0056923,tt0050419,tt0045152
nm0001415	Elia Kazan	1909	tt0047296,tt0044081,tt0048028,tt0056825
nm0000041	Akira Kurosawa	1910	tt0051808,tt0080979,tt0047478,tt0089881
nm0000180	David Lean	1908	tt0050212,tt0056172,tt0087892,tt0059113
nm0943758	William Wyler	1902	tt0052618,tt0051411,tt0036868,tt0046250
nm0000697	Billy Wilder	1906	tt0047437,tt0053291,tt0053604,tt0043014
nm0000019	Federico Fellini	1920	tt0050783,tt0071129,tt0056801,tt0053779
nm0000040	Stanley Kubrick	1928	tt0062622,tt0120663,tt0066921,tt0072684
nm0950109	Terence Young	1915	tt0059800,tt0062467,tt0055928,tt0057076
nm0836328	John Sturges	1910	tt0054047,tt0057115,tt0050468,tt0047849
nm0357891	Guy Hamilton	1922	tt0071807,tt0066995,tt0070328,tt0058150
nm0936404	Robert Wise	1914	tt0066769,tt0079945,tt0059742,tt0055614
nm0001466	Sergio Leone	1929	tt0087843,tt0067140,tt0060196,tt0058461
nm0671957	Arthur Penn	1922	tt0065988,tt0064002,tt0061418,tt0056241
nm0742341	Stuart Rosenberg	1927	tt0061512,tt0078767,tt0054531,tt0055349
nm0796923	Don Siegel	1912	tt0077745,tt0049366,tt0079116,tt0066999
nm0835799	Mel Stuart	1928	tt0067992,tt0054050,tt0236702,tt0059197
nm0000338	Francis Ford Coppola	1939	tt0068646,tt0078788,tt0071360,tt0071562
nm0001243	William Friedkin	1935	tt0067116,tt1726669,tt0070047,tt0090180
nm0769874	Franklin J. Schaffner	1920	tt0070511,tt0077269,tt0063442,tt0066206
nm0001486	Sidney Lumet	1924	tt0071877,tt0072890,tt0292963,tt0050083
nm0001351	George Roy Hill	1921	tt0076723,tt0064115,tt0069280,tt0070735
nm0000316	Mel Brooks	1926	tt0071230,tt0395251,tt0094012,tt0082517
nm0001402	Terry Jones	1942	tt0085959,tt0079470,tt0071853,tt0118172
nm0000229	Steven Spielberg	1946	tt0083866,tt0082971,tt0120815,tt0108052
nm0788940	Jim Sharman	1945	tt0077992,tt0073629,tt0075282,tt0069262
nm0001587	Alan J. Pakula	1928	tt0056592,tt0100404,tt0074119,tt0084707
nm0000095	Woody Allen	1935	tt0118954,tt0079522,tt0075686,tt0097123
nm0000184	George Lucas	1944	tt0076759,tt0082971,tt0066434,tt0069704
nm0000118	John Carpenter	1948	tt0077651,tt0080749,tt0082340,tt0074156
nm0000230	Sylvester Stallone	1946	tt0089927,tt0075148,tt3076658,tt0084602
nm0000720	Jim Abrahams	1944	tt0083466,tt0102059,tt0088286,tt0080339
nm0000601	Harold Ramis	1944	tt0087332,tt0083131,tt0478311,tt0107048
nm0000186	David Lynch	1946	tt0105665,tt0166924,tt0098936,tt0460829
nm0192446	Sean S. Cunningham	1941	tt0329101,tt0211443,tt0758746,tt0080761
nm0000600	Sam Raimi	1959	tt0145487,tt0099365,tt0083907,tt0106308
nm0001361	Tobe Hooper	1943	tt0098375,tt0084516,tt0072271,tt0092076
nm0163706	Bob Clark	1939	tt0085334,tt0084522,tt0071222,tt0118665
nm0001232	Milos Forman	1932	tt0073486,tt0086879,tt0117318,tt0079261
nm0000976	Martin Brest	1951	tt0119643,tt0105323,tt0095631,tt0086960
nm0001102	Joe Dante	1946	tt0093260,tt0082533,tt0087363,tt0122718
nm0000814	John G. Avildsen	1935	tt0075148,tt0100507,tt0097647,tt0087538
nm0594503	Hayao Miyazaki	1941	tt0096283,tt0119698,tt0347149,tt0245429
nm0000116	James Cameron	1954	tt0499549,tt0103064,tt0090605,tt0120338
nm0000583	Wolfgang Petersen	1941	tt0114069,tt0089092,tt0118571,tt0082096
nm0504495	Mark L. Lester	1946	tt0083739,tt0338554,tt0088944,tt0087262
nm0000455	John Hughes	1950	tt0088847,tt0090305,tt0093748,tt0091042
nm0001345	Jim Henson	1936	tt0063951,tt0074028,tt0079588,tt0083791
nm0001915	Emile Ardolino	1943	tt0107065,tt0085655,tt0149439,tt0092890
nm0001469	Barry Levinson	1942	tt0105629,tt0120885,tt0101516,tt0095953
nm0000850	Clive Barker	1952	tt0100260,tt0093177,tt0103919,tt0805570
nm0001149	Richard Donner	1930	tt0093409,tt0300556,tt0078346,tt0089457
nm0001274	Paul Michael Glaser	1943	tt0067093,tt0093894,tt0335438,tt0072567
nm0960028	Katsuhiro Ôtomo	1954	tt0348121,tt0103286,tt0094625,tt0113799
nm0001532	John McTiernan	1951	tt0095016,tt0107362,tt0246894,tt0093773
nm0718645	Ivan Reitman	1946	tt1193138,tt0082509,tt0087332,tt0120828
nm0931530	Richard Williams	1933	tt2231061,tt0112389,tt0096438,tt0304971
nm0000709	Robert Zemeckis	1951	tt0109830,tt1907668,tt0118884,tt0088763
nm0001837	Peter Weir	1944	tt0311113,tt1023114,tt0090329,tt0120382
nm0001880	Edward Zwick	1952	tt0092492,tt0138097,tt0110322,tt0325710
nm0002653	Joe Johnston	1950	tt0082971,tt0102803,tt0132477,tt0458339
nm0615780	John Musker	1953	tt0097757,tt3521164,tt0119282,tt0103639
nm0001661	Rob Reiner	1947	tt0066626,tt0088258,tt0104257,tt0993846
nm0009953	Andy Ackerman	\N	tt1595856,tt0098904,tt0083399,tt0077097
nm0001508	Penny Marshall	1943	tt0104694,tt0094737,tt0099077,tt0074016
nm0000318	Tim Burton	1958	tt0099487,tt1142977,tt0121164,tt0408236
nm0958387	Jerry Zucker	1950	tt0080339,tt0099653,tt0083466,tt0088286
nm0001060	Chris Columbus	1958	tt1454029,tt0294870,tt0295297,tt0241527
nm0394280	Stephen Hopkins	1958	tt0120738,tt0352520,tt0100403,tt0097981
nm0000682	Paul Verhoeven	1938	tt0093870,tt3716530,tt0389557,tt0164052
nm0001053	Ethan Coen	1957	tt0116282,tt6412452,tt2042568,tt1019452
nm0873779	Gary Trousdale	1960	tt0116583,tt0101414,tt0110357,tt0230011
nm0000217	Martin Scorsese	1942	tt0106226,tt0070379,tt0075314,tt0099685
nm0001878	David Zucker	1947	tt0080339,tt0362120,tt0088286,tt0102510
nm0000941	Kathryn Bigelow	1951	tt0114558,tt1790885,tt0887912,tt0093605
nm0000631	Ridley Scott	1937	tt0103074,tt0083658,tt3659388,tt0172495
nm0166256	Ron Clements	1953	tt0780521,tt0103639,tt3521164,tt0119282
nm0000520	Michael Mann	1943	tt0091474,tt0369339,tt0140352,tt0104691
nm0000233	Quentin Tarantino	1963	tt0116367,tt0110912,tt3460252,tt0105236
nm0790715	Penelope Spheeris	1945	tt0115697,tt0106400,tt0110366,tt0086589
nm0004810	Chris Carter	1956	tt0182587,tt0106179,tt0120902,tt0443701
nm0000134	Robert De Niro	1943	tt0070379,tt0081398,tt0101540,tt0075314
nm0000500	Richard Linklater	1960	tt0405296,tt2209418,tt1065073,tt0243017
nm0104193	Marco Brambilla	1960	tt0106697,tt0119086,tt0492962,tt0310443
nm0001112	Andrew Davis	1946	tt0106977,tt0311289,tt0406816,tt0105690
nm0006487	Jim Sheridan	1949	tt0097937,tt0107207,tt0298845,tt0765010
nm0783139	Henry Selick	1952	tt0327597,tt0107688,tt0116683,tt0100638
nm0001129	Jonathan Demme	1944	tt1084950,tt0268126,tt0102926,tt0107818
nm0001716	Tony Scott	1944	tt0108399,tt0477080,tt0421054,tt0116277
nm0002120	Lasse Hallström	1946	tt0108550,tt0241303,tt0089606,tt0124315
nm0001565	Mike Newell	1942	tt0119008,tt0104522,tt0109831,tt0330373
nm0000108	Luc Besson	1959	tt0119116,tt0100263,tt0110413,tt2872732
nm0000231	Oliver Stone	1946	tt0091763,tt0096969,tt0102138,tt0110632
nm0000957	Jan de Bont	1943	tt0171363,tt0181689,tt0117998,tt0111257
nm0000386	Roland Emmerich	1955	tt0120685,tt0116629,tt1628841,tt0319262
nm0000165	Ron Howard	1954	tt0870111,tt0268978,tt0112384,tt0367279
nm0003088	Chris Noonan	1952	tt0081559,tt0482546,tt0140770,tt0112431
nm0797869	Brad Silberling	1963	tt0120632,tt0339291,tt0179098,tt0112642
nm0002132	Amy Heckerling	1954	tt0115137,tt0097778,tt3973820,tt0083929
nm0001675	Robert Rodriguez	1968	tt0104815,tt0458481,tt0287717,tt1077258
nm0027271	Paul W.S. Anderson	1965	tt0113855,tt1509767,tt0318627,tt0119081
nm0300265	Mike Gabriel	1954	tt0114148,tt0412936,tt0095776,tt0100477
nm0000399	David Fincher	1962	tt2267998,tt0114369,tt0443706,tt1285016
nm0000487	Ang Lee	1954	tt0114388,tt0190332,tt0454876,tt0808357
nm0000416	Terry Gilliam	1940	tt0085959,tt0088846,tt0071853,tt1054606
nm0001741	Bryan Singer	1965	tt0348150,tt0120903,tt1877832,tt0114814
nm0240797	Dennis Dugan	1946	tt0116483,tt0142342,tt0077070,tt0960144
nm0000361	Brian De Palma	1940	tt0280665,tt0080661,tt0086984,tt0094226
nm0387706	Gregory Hoblit	1944	tt0186151,tt0117381,tt0106079,tt0081873
nm0525303	Baz Luhrmann	1962	tt0455824,tt1343092,tt0117509,tt0203009
nm0701592	Joe Pytka	1938	tt0097731,tt0117705,tt3574400,tt7058444
nm0000965	Danny Boyle	1956	tt1542344,tt0111149,tt0289043,tt1010048
nm0325776	Gary Goldman	1944	tt0096787,tt0120913,tt0118617,tt0084649
nm0001054	Joel Coen	1954	tt0101410,tt0116282,tt1019452,tt6412452
nm0000759	Paul Thomas Anderson	1970	tt0118749,tt0272338,tt0469494,tt1791528
nm0922346	Simon West	1961	tt0118880,tt0144214,tt0472399,tt0146316
nm0000431	Taylor Hackford	1944	tt0106469,tt0350258,tt0084434,tt0109642
nm0000247	John Woo	1946	tt0104684,tt0425637,tt0119094,tt0092263
nm0331532	Raja Gosnell	1958	tt0331632,tt0267913,tt0208003,tt0151738
nm0001994	Michael Caton-Jones	1957	tt0430912,tt0114287,tt0119395,tt0100133
nm0389591	P.J. Hogan	1962	tt0110598,tt0316396,tt2910904,tt0119738
nm0006854	Roger Spottiswoode	1945	tt0083511,tt0216216,tt0096098,tt0472562
nm0001460	Mimi Leder	1952	tt0120647,tt0119874,tt2699128,tt4669788
nm0003620	Kevin Smith	1970	tt0118842,tt0424345,tt0109445,tt0120655
nm1103162	Tim Story	1970	tt0316732,tt0303714,tt1621045,tt0120667
nm0001104	Frank Darabont	1959	tt0111161,tt1520211,tt0884328,tt0120689
nm0005363	Guy Ritchie	1968	tt0988045,tt1638355,tt0208092,tt0120735
